"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"C","05",0.038,0.0344,0.0375,0.0381,0.3304,0.3361,"C05",0.991289782244556,1.07447623433836,7.69317578998828,8.06039433351718,4.55583844083051,2020-02-24,"Tank3",17,7.82249433326986
"C","06",0.0409,0.0375,0.041,0.0456,0.3081,0.3598,"C06",0.846545686087233,0.930163403215536,7.62639074212059,8.06039433351718,5.3843965126109,2020-02-24,"Tank4",17,7.7531243084917
"C","07",0.0384,0.0351,0.0382,0.0366,0.2906,0.3255,"C07",0.890003459010723,0.9734916937046,7.64741685033647,8.06039433351718,5.12353944599765,2020-02-24,"Tank7",17,7.77501301916256
"C","08",0.0385,0.0349,0.0387,0.0362,0.3217,0.371,"C08",0.864016736401674,0.947582398535565,7.63495322786352,8.06039433351718,5.27816739541595,2020-02-24,"Tank8",17,7.76204359940143
"C","09",0.0369,0.0328,0.0364,0.0379,0.2959,0.3406,"C09",0.864445910290237,0.948010293700528,7.63516167789398,8.06039433351718,5.27558129327463,2020-02-24,"Tank9",17,7.76226064068947
"C","10",0.0356,0.0323,0.0358,0.037,0.2887,0.3402,"C10",0.841584158415842,0.925216658415842,7.62393134061028,8.06039433351718,5.41490868619138,2020-02-24,"Tank10",17,7.75056100930161
"C","11",0.0393,0.0359,0.0397,0.0374,0.4194,0.3079,"C11",1.42687893372825,1.50876754794521,7.85286627959446,8.06039433351718,2.57466378610989,2020-02-24,"Tank11",17,7.98675146354297
"C","12",0.0411,0.0367,0.0406,0.0406,0.4166,0.3058,"C12",1.43168987579977,1.51356415581483,7.85437982764075,8.06039433351718,2.55588619305847,2020-02-24,"Tank12",17,7.98829936813302
"D","01",0.0355,0.033,0.0362,0.0358,0.4518,0.3218,"D01",1.46687697160883,1.54864641167192,7.86531918902742,8.06039433351718,2.4201687463179,2020-02-24,"Tank13",17,7.99948295855664
"D","02",0.0362,0.0328,0.0363,0.0357,0.4376,0.3124,"D02",1.46529284164859,1.5470670016269,7.8648315566736,8.06039433351718,2.42621847953992,2020-02-24,"Tank14",17,7.99898459006312
"D","03",0.0372,0.0338,0.0366,0.0369,0.4272,0.3072,"D03",1.45330380214101,1.53511368346253,7.86112633347401,8.06039433351718,2.47218674171514,2020-02-24,"Tank15",17,7.99519733434673
"D","04",0.0379,0.0343,0.0374,0.0374,0.4539,0.3315,"D04",1.42600135777325,1.50789258672777,7.85258971752495,8.06039433351718,2.57809490942804,2020-02-24,"Tank16",17,7.98646860860282
"D","05",0.0397,0.0363,0.0404,0.0378,0.4118,0.3378,"D05",1.26094219846308,1.34332522118276,7.79776760206326,8.06039433351718,3.25823676345271,2020-02-24,"Tank17",17,7.9303004074027
"D","06",0.0401,0.038,0.0424,0.0395,0.4646,0.3672,"D06",1.31284572833436,1.39507410448679,7.81564086820444,8.06039433351718,3.03649493046504,2020-02-24,"Tank18",17,7.94863504906843
"D","07",0.0367,0.0329,0.0357,0.0365,0.3928,0.3295,"D07",1.22482993197279,1.30732055119048,7.78495406109496,8.06039433351718,3.41720592101639,2020-02-24,"Tank19",17,7.91714166358271
"D","08",0.0369,0.033,0.0355,0.0372,0.3611,0.3191,"D08",1.15707730321214,1.23976979138722,7.7600073875879,8.06039433351718,3.72670285720631,2020-02-24,"Tank20",17,7.8914863171105
"E","01",0.0393,0.0366,0.0399,0.0388,0.4481,0.3233,"E01",1.45121521662557,1.53303132088764,7.86047817714581,8.06039433351718,2.48022799008814,2020-02-24,"Tank13",17,7.99453474486079
"E","02",0.0387,0.0352,0.0384,0.039,0.409,0.2945,"E02",1.4601250977326,1.54191465500391,7.86323765801243,8.06039433351718,2.44599292971212,2020-02-24,"Tank14",17,7.99735550181383
"E","03",0.0376,0.0341,0.0369,0.0367,0.4129,0.2973,"E03",1.4531190202832,1.53492945216227,7.86106902182806,8.06039433351718,2.47289776953307,2020-02-24,"Tank15",17,7.99513874748691
"E","04",0.0364,0.0328,0.0362,0.0371,0.4354,0.3153,"E04",1.44360632183908,1.52544509680316,7.85811010578667,8.06039433351718,2.50960709067745,2020-02-24,"Tank16",17,7.99211372888158
"E","05",0.0396,0.0359,0.0398,0.0376,0.4053,0.326,"E05",1.28868841082582,1.37098876370576,7.80739938551435,8.06039433351718,3.13874157435224,2020-02-24,"Tank17",17,7.9401836688674
"E","06",0.0393,0.036,0.0402,0.0383,0.4137,0.3341,"E06",1.28416412343167,1.36647795642591,7.80584110548403,8.06039433351718,3.15807412764725,2020-02-24,"Tank18",17,7.93858515921652
"E","07",0.0364,0.0323,0.0351,0.0368,0.4174,0.3429,"E07",1.25146389069616,1.33387515403383,7.79443541567882,8.06039433351718,3.29957700372598,2020-02-24,"Tank19",17,7.92687963623648
"E","08",0.0492,0.0484,0.0539,0.0519,0.4264,0.3697,"E08",1.19865857553497,1.28122717230917,7.77546243275079,8.06039433351718,3.53496229807975,2020-02-24,"Tank20",17,7.9073862254208
"F","01",0.0371,0.0337,0.0366,0.0362,0.4537,0.3241,"F01",1.45943134535368,1.54122296966019,7.86302331460992,8.06039433351718,2.44865214703625,2020-02-24,"Tank13",17,7.99713641484941
"F","02",0.0367,0.0333,0.0365,0.0366,0.4006,0.2854,"F02",1.47550200803213,1.5572457497992,7.86796629139307,8.06039433351718,2.38732789193628,2020-02-24,"Tank14",17,8.00218810090733
"F","03",0.0369,0.0335,0.0372,0.0363,0.4565,0.3199,"F03",1.49523473349806,1.5769196816096,7.87397297345259,8.06039433351718,2.31280694654603,2020-02-24,"Tank15",17,8.00832499324675
"F","04",0.039,0.036,0.0395,0.0373,0.4287,0.3078,"F04",1.46074074074074,1.5425284637037,7.86342779549409,8.06039433351718,2.44363401929425,2020-02-24,"Tank16",17,7.9975498449068
"F","05",0.0412,0.0379,0.0418,0.0477,0.4224,0.3442,"F05",1.27745860087868,1.35979241297736,7.80352282631256,8.06039433351718,3.18683548938154,2020-02-24,"Tank17",17,7.93620670617186
"F","06",0.0373,0.0341,0.0382,0.0363,0.4189,0.3305,"F06",1.31537674735765,1.3975975823389,7.81649677034365,8.06039433351718,3.02587631673731,2020-02-24,"Tank18",17,7.94951247617566
"F","07",0.036,0.0324,0.0359,0.037,0.433,0.3525,"F07",1.26615969581749,1.3485271730038,7.79959265357661,8.06039433351718,3.23559455219322,2020-02-24,"Tank19",17,7.93217362915749
"F","08",0.0403,0.0378,0.0425,0.0424,0.4254,0.3561,"F08",1.23756019261637,1.32001288202247,7.78950783614305,8.06039433351718,3.36071023532581,2020-02-24,"Tank20",17,7.92181953845152
